;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
    2020;66.07;61.57;72.30;46.09;44.17;48.52;21.07;17.24;25.60;17.34;15.02;20.66
    2019;55.57;51.25;61.77;38.45;34.71;42.98;20.07;16.42;24.33;17.50;15.61;20.08
    2018;60.22;59.31;61.56;43.59;43.79;43.34;21.33;17.41;25.98;20.55;18.95;22.81
    2017;64.10;64.40;63.65;45.68;44.97;46.52;23.93;20.77;27.66;22.38;21.71;23.36
    2016;72.92;67.18;81.19;54.93;53.97;56.06;27.31;23.91;31.33;23.03;23.84;21.91
    2015;73.50;66.60;82.43;53.64;52.72;54.67;29.93;27.10;33.25;26.28;26.15;26.46
    2014;72.28;67.63;78.28;59.42;60.74;57.83;32.86;30.28;35.89;29.39;29.02;29.94
    2013;79.71;77.85;82.01;63.02;62.41;63.70;33.90;32.32;35.77;29.97;29.81;30.21
    2012;78.06;77.67;78.59;58.29;59.78;56.70;32.09;30.99;33.42;27.59;27.31;28.02
    2011;68.42;66.23;71.60;50.53;52.73;48.12;28.07;26.30;30.30;23.01;22.88;23.23
    2010;67.84;63.45;74.86;45.29;46.72;43.75;25.71;24.55;27.17;20.74;20.33;21.50
    2009;60.93;59.28;63.71;40.40;41.93;38.62;23.18;21.75;25.05;18.98;18.17;20.54
    2008;44.82;40.46;51.50;26.40;26.16;26.69;15.99;13.42;19.51;13.71;11.38;18.63
    2007;32.59;24.98;44.45;19.97;17.42;23.01;11.23;8.03;15.77;10.44;8.73;14.22
    2006;30.25;22.55;42.88;18.87;14.96;23.70;11.32;8.06;16.11;9.76;8.35;13.05
02 Aragón;;;;;;;;;;;;
    2020;39.51;35.32;46.92;26.33;22.42;31.49;10.95;9.29;12.79;8.93;7.81;10.31
    2019;35.55;28.91;47.22;25.65;23.88;28.35;8.97;7.34;10.85;8.38;8.44;8.30
    2018;39.47;35.95;46.04;24.67;23.52;26.22;9.59;8.17;11.23;9.33;7.99;10.88
    2017;48.50;43.87;53.73;26.55;27.36;25.64;10.90;8.00;14.34;8.13;6.05;10.64
    2016;56.51;56.47;56.55;33.19;31.45;35.17;14.01;11.22;17.23;9.96;7.81;12.68
    2015;57.17;57.13;57.20;38.04;32.08;45.10;15.81;13.12;18.97;8.91;6.01;12.94
    2014;65.16;62.02;68.99;48.81;49.65;47.97;18.71;16.68;21.08;14.36;13.28;15.94
    2013;82.99;85.90;78.33;42.93;41.45;44.39;20.01;19.08;21.12;14.47;12.87;16.68
    2012;75.83;83.11;65.01;37.07;39.29;34.88;17.88;16.73;19.27;11.13;10.42;12.12
    2011;66.37;68.56;62.42;35.35;38.53;31.61;16.22;15.52;17.08;9.63;10.61;8.21
    2010;47.51;44.09;53.00;28.65;26.28;31.54;14.31;13.56;15.26;8.30;8.73;7.65
    2009;40.96;43.52;37.48;29.31;31.78;26.08;12.23;12.50;11.88;5.68;5.74;5.58
    2008;34.76;32.00;38.35;15.58;11.61;20.56;6.46;6.31;6.66;2.86;1.93;4.59
    2007;23.01;24.56;20.61;10.98;6.98;16.43;4.44;3.13;6.13;4.17;3.18;5.96
    2006;24.10;21.17;27.85;8.73;7.62;10.13;5.06;3.21;7.57;3.20;3.02;3.57
03 Asturias, Principado de;;;;;;;;;;;;
    2020;63.49;60.64;65.38;32.80;38.08;27.22;14.27;13.63;14.97;9.68;9.87;9.49
    2019;32.97;45.50;17.27;28.07;24.96;32.08;14.47;13.56;15.45;10.18;8.95;11.37
    2018;60.43;63.21;56.75;34.33;30.31;38.39;13.60;12.42;14.88;9.03;7.79;10.27
    2017;49.17;43.04;58.42;34.39;37.54;30.57;13.60;13.23;14.00;8.99;8.59;9.42
    2016;43.80;54.87;33.10;48.67;55.82;41.56;17.55;18.69;16.32;9.98;10.23;9.71
    2015;43.54;41.99;45.03;41.63;42.46;40.71;19.08;19.43;18.69;13.39;14.36;12.36
