 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2020T4;32.3;15.3;17.0;98.7;52.0;46.7;223.6;112.8;110.8;209.2;79.4;129.8;219.0;87.6;131.3;124.4;67.3;57.1
    2020T3;32.5;17.0;15.5;106.6;54.5;52.1;243.7;117.5;126.2;206.4;81.4;125.0;221.1;100.5;120.7;122.0;60.6;61.4
    2020T2;20.9;12.3;8.6;89.0;50.6;38.3;214.5;108.6;106.0;189.8;79.6;110.2;172.6;77.1;95.5;101.7;51.6;50.1
    2020T1;29.1;17.5;11.6;90.5;49.0;41.5;195.0;88.6;106.4;204.6;84.5;120.1;206.0;92.7;113.3;111.5;55.1;56.4
    2019T4;27.8;15.1;12.7;83.8;44.9;38.9;197.7;95.2;102.5;192.8;79.2;113.6;212.2;93.5;118.7;109.6;58.0;51.6
    2019T3;33.0;18.8;14.2;98.6;44.8;53.8;202.7;100.8;102.0;209.0;86.2;122.8;212.6;91.7;120.9;109.8;56.5;53.3
    2019T2;28.3;16.5;11.8;86.0;43.3;42.7;192.8;92.7;100.1;196.3;81.2;115.0;216.8;90.9;125.9;115.3;58.4;56.9
    2019T1;28.9;13.6;15.3;81.2;39.6;41.5;187.5;93.6;93.9;202.3;82.6;119.7;220.9;89.9;131.0;108.7;56.1;52.6
    2018T4;28.6;16.5;12.1;97.7;54.3;43.3;195.5;102.6;92.9;195.0;74.0;121.0;203.0;82.3;120.7;114.6;59.2;55.4
    2018T3;29.9;16.3;13.7;104.7;56.2;48.6;222.0;110.3;111.7;212.7;87.8;125.0;209.5;88.2;121.3;119.3;62.0;57.3
